"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"155","carbamazepine","DTXSID4022731","NOEC",1,"ug/L","Rainbow Trout","Fish",236.274
"156","carbamazepine","DTXSID4022731","NOEC",10,"ug/L","Zebra Danio","Fish",236.274
"157","carbamazepine","DTXSID4022731","NOEC",125,"ug/L","Pumpkinseed","Fish",236.274
"158","carbamazepine","DTXSID4022731","NOEC",200,"ug/L","Rainbow Trout","Fish",236.274
"159","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Zebra Danio","Fish",236.274
"160","carbamazepine","DTXSID4022731","NOEC",2000,"ug/L","Rainbow Trout","Fish",236.274
"161","carbamazepine","DTXSID4022731","NOEC",7383.53,"ug/L","Zebra Danio","Fish",236.274
"162","carbamazepine","DTXSID4022731","NOEC",19900,"ug/L","Rainbow Trout","Fish",236.274
"163","carbamazepine","DTXSID4022731","NOEC",20000,"ug/L","Common Carp","Fish",236.274
"164","carbamazepine","DTXSID4022731","NOEC",29534.1,"ug/L","Rainbow Trout","Fish",236.274
"165","carbamazepine","DTXSID4022731","NOEC",61500,"ug/L","Japanese Medaka","Fish",236.274
"166","carbamazepine","DTXSID4022731","NOEC",70881.9,"ug/L","Zebra Danio","Fish",236.274
"167","carbamazepine","DTXSID4022731","NOEC",80332.9,"ug/L","Zebra Danio","Fish",236.274
"168","carbamazepine","DTXSID4022731","NOEC",82695.6,"ug/L","Zebra Danio","Fish",236.274
"169","carbamazepine","DTXSID4022731","NOEC",180,"ug/L","Rainbow Trout","Fish",236.274
"170","carbamazepine","DTXSID4022731","NOEC",862,"ug/L","Fathead Minnow","Fish",236.274
"171","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Zebra Danio","Fish",236.274
"172","carbamazepine","DTXSID4022731","NOEC",25000,"ug/L","Zebra Danio","Fish",236.274
"173","metronidazole","DTXSID2020892","NOEC",5e+05,"ug/L","Zebra Danio","Fish",171.156
"174","venlafaxine","DTXSID6023737","NOEC",1.086,"ug/L","Zebra Danio","Fish",277.408
"175","venlafaxine","DTXSID6023737","NOEC",2.77407,"ug/L","Rainbow Trout","Fish",277.408
"176","venlafaxine","DTXSID6023737","NOEC",277.407,"ug/L","Rainbow Trout","Fish",277.408
"177","venlafaxine","DTXSID6023737","NOEC",38.3,"ug/L","Japanese Medaka","Fish",277.408
"178","venlafaxine","DTXSID6023737","NOEC",213,"ug/L","Japanese Medaka","Fish",277.408
"179","omeprazole","DTXSID6021080","NOEC",10000,"ug/L","Rainbow Trout","Fish",345.42
"180","omeprazole","DTXSID6021080","NOEC",4998.17,"ug/L","Danio","Fish",345.42
"181","omeprazole","DTXSID6021080","NOEC",9982.53,"ug/L","Danio","Fish",345.42
"182","omeprazole","DTXSID6021080","NOEC",19999.6,"ug/L","Danio","Fish",345.42
"183","lisinopril","DTXSID6040537","NOEC",405.494,"ug/L","Zebra Danio","Fish",405.495
"184","celecoxib","DTXSID0022777","NOEC",29.3,"ug/L","Fathead Minnow","Fish",381.37
"185","celecoxib","DTXSID0022777","NOEC",100,"ug/L","Zebra Danio","Fish",381.37
"186","celecoxib","DTXSID0022777","NOEC",1000,"ug/L","Zebra Danio","Fish",381.37
"187","celecoxib","DTXSID0022777","NOEC",10000,"ug/L","Zebra Danio","Fish",381.37
